GEO_ID,NAME,S1901_C01_001E,S1901_C01_012E,S1901_C01_013E
Geography,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
8600000US41005,ZCTA5 41005,8624,88500,93557
8600000US41006,ZCTA5 41006,1481,57696,67501
8600000US41007,ZCTA5 41007,1716,85032,105145
8600000US41008,ZCTA5 41008,2785,43271,64032
8600000US41010,ZCTA5 41010,1409,50234,63548
8600000US41011,ZCTA5 41011,12360,49317,80663
8600000US41014,ZCTA5 41014,2747,45015,57141
8600000US41015,ZCTA5 41015,7707,56126,75337
8600000US41016,ZCTA5 41016,2771,56884,64637
8600000US41017,ZCTA5 41017,15533,84360,113680
8600000US41018,ZCTA5 41018,10703,59799,77326
8600000US41030,ZCTA5 41030,2163,61135,80768
8600000US41031,ZCTA5 41031,6562,50720,64019
8600000US41033,ZCTA5 41033,580,98333,100377
8600000US41034,ZCTA5 41034,403,59813,78289
8600000US41035,ZCTA5 41035,4211,58759,68038
8600000US41039,ZCTA5 41039,1047,50447,56711
8600000US41040,ZCTA5 41040,2839,48717,58799
8600000US41041,ZCTA5 41041,2852,37952,60821
8600000US41042,ZCTA5 41042,21516,65698,79759
8600000US41043,ZCTA5 41043,586,63967,88446
8600000US41044,ZCTA5 41044,387,63244,74428
8600000US41045,ZCTA5 41045,430,49408,64633
8600000US41046,ZCTA5 41046,509,55481,61289
8600000US41048,ZCTA5 41048,5159,104606,122339
8600000US41049,ZCTA5 41049,979,35433,48118
8600000US41051,ZCTA5 41051,10107,82591,91096
8600000US41052,ZCTA5 41052,41,-,N
8600000US41055,ZCTA5 41055,715,71250,104652
8600000US41056,ZCTA5 41056,5300,41047,67295
8600000US41059,ZCTA5 41059,1283,59336,89327
8600000US41062,ZCTA5 41062,14,-,N
8600000US41063,ZCTA5 41063,1107,71612,80440
8600000US41064,ZCTA5 41064,744,52838,53795
8600000US41071,ZCTA5 41071,9612,43390,67083
8600000US41073,ZCTA5 41073,2589,68819,84525
8600000US41074,ZCTA5 41074,2353,53345,65176
8600000US41075,ZCTA5 41075,6292,77162,109536
8600000US41076,ZCTA5 41076,6901,60797,76345
8600000US41080,ZCTA5 41080,705,100363,102679
8600000US41083,ZCTA5 41083,670,55152,61664
8600000US41085,ZCTA5 41085,315,49236,48979
8600000US41086,ZCTA5 41086,943,51649,71227
8600000US41091,ZCTA5 41091,6677,120826,144642
8600000US41092,ZCTA5 41092,1126,76058,94310
8600000US41093,ZCTA5 41093,1281,49083,54663
8600000US41094,ZCTA5 41094,5234,83325,100542
8600000US41095,ZCTA5 41095,1339,48614,56935
8600000US41097,ZCTA5 41097,2473,47829,60837
8600000US41098,ZCTA5 41098,774,33800,51071
8600000US41099,ZCTA5 41099,0,-,-
8600000US41101,ZCTA5 41101,7616,44298,62799
8600000US41102,ZCTA5 41102,7253,55643,69585
8600000US41121,ZCTA5 41121,805,41048,61447
8600000US41124,ZCTA5 41124,353,22679,37276
8600000US41129,ZCTA5 41129,3657,58678,74972
8600000US41132,ZCTA5 41132,134,19063,34965
8600000US41135,ZCTA5 41135,67,24044,30048
8600000US41139,ZCTA5 41139,3176,51907,64271
8600000US41141,ZCTA5 41141,795,21951,34253
8600000US41142,ZCTA5 41142,0,-,-
8600000US41143,ZCTA5 41143,4924,39612,54962
8600000US41144,ZCTA5 41144,3683,48244,64474
8600000US41146,ZCTA5 41146,132,-,21239
8600000US41149,ZCTA5 41149,185,33795,34762
8600000US41159,ZCTA5 41159,188,19250,32369
8600000US41164,ZCTA5 41164,4841,41011,55863
8600000US41166,ZCTA5 41166,452,44286,45238
8600000US41168,ZCTA5 41168,1060,57708,69091
8600000US41169,ZCTA5 41169,2304,56410,70423
8600000US41171,ZCTA5 41171,1348,35833,46265
8600000US41174,ZCTA5 41174,442,62065,85366
8600000US41175,ZCTA5 41175,2081,39688,53185
8600000US41179,ZCTA5 41179,2985,27780,48130
8600000US41180,ZCTA5 41180,370,35909,42329
8600000US41183,ZCTA5 41183,704,55686,60175
8600000US41189,ZCTA5 41189,767,33819,44221
8600000US41201,ZCTA5 41201,75,-,52689
8600000US41203,ZCTA5 41203,219,42694,48767
8600000US41204,ZCTA5 41204,221,52660,46618
8600000US41214,ZCTA5 41214,186,-,25280
8600000US41216,ZCTA5 41216,516,60469,71683
8600000US41219,ZCTA5 41219,727,22028,32702
8600000US41222,ZCTA5 41222,952,35625,50536
8600000US41224,ZCTA5 41224,1990,49830,58191
8600000US41226,ZCTA5 41226,52,14200,21383
8600000US41230,ZCTA5 41230,4140,33793,47914
8600000US41231,ZCTA5 41231,280,32727,52913
8600000US41232,ZCTA5 41232,255,19855,48675
8600000US41234,ZCTA5 41234,222,23836,41547
8600000US41238,ZCTA5 41238,243,39353,51573
8600000US41240,ZCTA5 41240,2605,42116,53484
8600000US41250,ZCTA5 41250,603,45775,49596
8600000US41254,ZCTA5 41254,188,35732,31912
8600000US41255,ZCTA5 41255,296,39375,55531
8600000US41256,ZCTA5 41256,1102,53494,89347
8600000US41257,ZCTA5 41257,252,39207,67152
8600000US41260,ZCTA5 41260,291,-,43442
8600000US41262,ZCTA5 41262,435,42788,50622
8600000US41263,ZCTA5 41263,127,-,51828
8600000US41264,ZCTA5 41264,211,52792,39389
8600000US41265,ZCTA5 41265,438,32167,45829
8600000US41267,ZCTA5 41267,300,25634,36801
8600000US41268,ZCTA5 41268,376,77273,66182
8600000US41271,ZCTA5 41271,59,29120,41929
8600000US41274,ZCTA5 41274,166,53684,58254
8600000US41301,ZCTA5 41301,2591,24873,38910
8600000US41311,ZCTA5 41311,2776,24323,37540
8600000US41314,ZCTA5 41314,1793,29693,47549
8600000US41317,ZCTA5 41317,111,44145,49232
8600000US41332,ZCTA5 41332,348,41346,48254
8600000US41339,ZCTA5 41339,4147,31548,51821
8600000US41348,ZCTA5 41348,492,18007,27311
8600000US41352,ZCTA5 41352,287,26488,36101
8600000US41360,ZCTA5 41360,116,43846,54412
8600000US41365,ZCTA5 41365,275,9431,18773
8600000US41366,ZCTA5 41366,21,-,N
8600000US41367,ZCTA5 41367,88,-,35156
8600000US41385,ZCTA5 41385,186,36944,44978
8600000US41390,ZCTA5 41390,14,-,N
8600000US41397,ZCTA5 41397,4,-,N
8600000US41408,ZCTA5 41408,183,20563,30050
8600000US41421,ZCTA5 41421,237,32802,32182
8600000US41425,ZCTA5 41425,485,31793,52955
8600000US41464,ZCTA5 41464,305,26806,54270
8600000US41465,ZCTA5 41465,4462,27992,43275
8600000US41472,ZCTA5 41472,3420,40308,54278
8600000US41501,ZCTA5 41501,9813,34589,60321
8600000US41503,ZCTA5 41503,231,97902,107535
8600000US41512,ZCTA5 41512,304,36250,43578
8600000US41513,ZCTA5 41513,224,38879,43915
8600000US41514,ZCTA5 41514,1215,33109,44968
8600000US41517,ZCTA5 41517,52,52717,40977
8600000US41519,ZCTA5 41519,460,42045,49117
8600000US41522,ZCTA5 41522,2120,32560,43144
8600000US41524,ZCTA5 41524,74,29405,30186
8600000US41526,ZCTA5 41526,55,-,N
8600000US41527,ZCTA5 41527,296,43250,68349
8600000US41528,ZCTA5 41528,447,52292,43899
8600000US41531,ZCTA5 41531,394,34952,43734
8600000US41534,ZCTA5 41534,115,-,21887
8600000US41535,ZCTA5 41535,291,-,47702
8600000US41537,ZCTA5 41537,1826,34381,52876
8600000US41538,ZCTA5 41538,44,69688,73005
8600000US41539,ZCTA5 41539,643,29050,36838
8600000US41540,ZCTA5 41540,42,52143,60655
8600000US41543,ZCTA5 41543,209,15625,24051
8600000US41544,ZCTA5 41544,252,32061,52552
8600000US41547,ZCTA5 41547,345,-,28614
8600000US41548,ZCTA5 41548,479,22240,37394
8600000US41553,ZCTA5 41553,535,34375,40728
8600000US41554,ZCTA5 41554,471,26208,49252
8600000US41555,ZCTA5 41555,290,-,49852
8600000US41557,ZCTA5 41557,850,27750,47360
8600000US41558,ZCTA5 41558,380,58472,54457
8600000US41559,ZCTA5 41559,78,-,30863
8600000US41560,ZCTA5 41560,73,32798,44059
8600000US41562,ZCTA5 41562,1087,41778,42908
8600000US41563,ZCTA5 41563,129,49375,46910
8600000US41564,ZCTA5 41564,295,37168,43876
8600000US41566,ZCTA5 41566,256,65313,60045
8600000US41567,ZCTA5 41567,47,-,44991
8600000US41568,ZCTA5 41568,479,30625,28697
8600000US41571,ZCTA5 41571,221,44556,41646
8600000US41572,ZCTA5 41572,1560,43529,50745
8600000US41601,ZCTA5 41601,253,30625,38986
8600000US41602,ZCTA5 41602,333,67939,93676
8600000US41603,ZCTA5 41603,656,31250,40101
8600000US41604,ZCTA5 41604,166,-,56577
8600000US41605,ZCTA5 41605,327,36840,45429
8600000US41606,ZCTA5 41606,383,-,41481
